name,age,net_worth_million_usd,industry,industries,country,self_made,gender
Ramesh Jaisinghani,69.0,2185.25,Manufacturing,Manufacturing,India,False,M
Linda Pritzker,72.0,2184.2,Service,Service,United States,False,F
Ajay Jaisinghani,74.0,2182.3,Manufacturing,Manufacturing,India,False,M
Mao Geping & family,62.0,2181.26,Fashion & Retail,Fashion & Retail,China,True,M
Chen Qixing,66.0,2181.11,Technology,Technology,China,True,M
Strive Masiyiwa,65.0,2178.85,Telecom,Telecom,Zimbabwe,True,M
Mario Gabelli,84.0,2178.64,Finance & Investments,Finance & Investments,United States,True,M
Karl Scheufele III & family,87.0,2177.58,Fashion & Retail,Fashion & Retail,Switzerland,True,M
Jerry Moyes & family,82.0,2176.6,Logistics,Logistics,United States,True,M
Heikki Herlin,39.0,2176.43,Manufacturing,Manufacturing,Finland,False,M
Kishore Jain,62.0,2175.82,Fashion & Retail,Fashion & Retail,India,False,M
Jiang Yintai & family,75.0,2174.67,Automotive,Automotive,China,True,M
Marc Lasry,65.0,2174.55,Finance & Investments,Finance & Investments,United States,True,M
Alberto Bombassei,85.0,2174.08,Automotive,Automotive,Italy,False,M
Rubens Menin Teixeira de Souza,70.0,2172.99,Diversified,Diversified,Brazil,True,M
Li Zhongchu,62.0,2172.29,Technology,Technology,China,True,M
Dragos Paval,59.0,2171.07,Fashion & Retail,Fashion & Retail,Romania,True,M
Ruan Shuilong & family,90.0,2170.39,Manufacturing,Manufacturing,China,True,M
Domenico Dolce,67.0,2170.08,Fashion & Retail,Fashion & Retail,Italy,True,M
Stefano Gabbana,63.0,2170.07,Fashion & Retail,Fashion & Retail,Italy,True,M
Sandor Csanyi,73.0,2167.23,Diversified,Diversified,Hungary,True,M
Chen Shibin,59.0,2165.74,Manufacturing,Manufacturing,China,True,M
Larry Robbins,56.0,2164.0,Finance & Investments,Finance & Investments,United States,True,M
Jian Jun,62.0,2163.12,Healthcare,Healthcare,China,True,F
Alexandra Burt,52.0,2162.57,Metals & Mining,Metals & Mining,Australia,False,F
