name,age,net_worth_million_usd,industries,country,self_made,gender
Jens von Bahr,55,1103.04,Gambling & Casinos,Sweden,True,M
Alexander Rinke,36,1103.0,Technology,Germany,True,M
Zhang Xuansong,54,1102.29,Fashion & Retail,China,True,M
Steven Schuurman,50,1101.16,Technology,Netherlands,True,M
James Cameron,71,1100.0,Media & Entertainment,Canada,True,M
Jerry Seinfeld,72,1100.0,Media & Entertainment,United States,True,M
Weijian Shan,72,1100.0,Finance & Investments,Hong Kong,True,M
Jane Goldman,70,1099.67,Real Estate,United States,False,F
Amit Burman,56,1098.81,Food & Beverage,India,False,M
Lou Guoqiang,69,1098.43,Manufacturing,China,True,M
Vildan Gulcelik,92,1098.42,Construction & Engineering,Turkey,False,F
Anatoly Skurov,73,1096.03,Energy,Russia,True,M
Joe Agresti,53,1096.0,Diversified,United States,True,M
Peter-Alexander Wacker,74,1095.55,Manufacturing,Germany,False,M
Marty Horton,74,1095.36,Real Estate,United States,False,F
Lin Por-Fong,83,1092.83,Manufacturing,Taiwan,False,M
Keiko Erikawa,77,1092.83,Media & Entertainment,Japan,True,F
Yu Jinkun & family,83,1092.75,Manufacturing,China,True,M
Cai Wensheng,65,1092.58,Technology,China,True,M
Bhavish Aggarwal,40,1092.54,Technology,India,True,M
Qi Xiangdong,55,1092.31,Technology,China,True,M
